Annotation Cluster 1	Enrichment Score: 1.1174049051270663
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	metal-binding	5	27.77777777777778	0.2620298233067018	OBSCN, ZNF540, ATP11A, ZNF471, ZNRD1	18	2972	19235	1.7977979662030805	0.9999999995726777	0.9954533774790316	95.73074757717774
SP_PIR_KEYWORDS	nucleus	6	33.33333333333333	0.3225745011594883	CLCC1, ZNF540, ZNF471, RBM47, ZNRD1, HIST3H3	18	4283	19235	1.497003657872208	0.9999999999990201	0.9960350851463686	98.24417003089914
GOTERM_MF_FAT	GO:0046872~metal ion binding	6	33.33333333333333	0.32758544543064594	TRPM4, OBSCN, ZNF540, ATP11A, ZNF471, ZNRD1	13	4140	12983	1.4473801560758084	0.999999999999964	0.9679234061115571	98.49762291911975
GOTERM_MF_FAT	GO:0043169~cation binding	6	33.33333333333333	0.3359813685594235	TRPM4, OBSCN, ZNF540, ATP11A, ZNF471, ZNRD1	13	4179	12983	1.4338726600033134	0.9999999999999865	0.9589790164750153	98.68460083710288
GOTERM_MF_FAT	GO:0043167~ion binding	6	33.33333333333333	0.349436898154593	TRPM4, OBSCN, ZNF540, ATP11A, ZNF471, ZNRD1	13	4241	12983	1.4129105980084524	0.9999999999999972	0.9525700894965045	98.94071696493856
GOTERM_MF_FAT	GO:0003677~DNA binding	4	22.22222222222222	0.3685697764440904	ZNF540, ZNF471, ZNRD1, HIST3H3	13	2331	12983	1.7137577137577138	0.9999999999999998	0.9496366190837525	99.22753163969075
SP_PIR_KEYWORDS	zinc-finger	3	16.666666666666664	0.456416909700393	ZNF540, ZNF471, ZNRD1	18	1718	19235	1.8660263872720215	1.0	0.9955281708516865	99.82123641464341
SP_PIR_KEYWORDS	dna-binding	3	16.666666666666664	0.5019845160124874	ZNF540, ZNF471, HIST3H3	18	1868	19235	1.7161848679514633	1.0	0.9959113263248207	99.92795053580075
SP_PIR_KEYWORDS	Transcription	3	16.666666666666664	0.5601330628393497	ZNF540, ZNF471, ZNRD1	18	2071	19235	1.5479639465636568	1.0	0.9950134377810329	99.98014043012937
SP_PIR_KEYWORDS	zinc	3	16.666666666666664	0.5919160852914662	ZNF540, ZNF471, ZNRD1	18	2189	19235	1.4645195675346427	1.0	0.9950233808804586	99.9908819701352
GOTERM_MF_FAT	GO:0008270~zinc ion binding	3	16.666666666666664	0.6576858759351631	ZNF540, ZNF471, ZNRD1	13	2311	12983	1.2964417668009187	1.0	0.9983910264217677	99.99881085003891
GOTERM_BP_FAT	GO:0006350~transcription	3	16.666666666666664	0.6636715789943648	ZNF540, ZNF471, ZNRD1	15	2101	13528	1.2877677296525465	1.0	1.0	99.99993191433893
GOTERM_MF_FAT	GO:0046914~transition metal ion binding	3	16.666666666666664	0.764177097665358	ZNF540, ZNF471, ZNRD1	13	2785	12983	1.0757906366523962	1.0	0.9996805465350377	99.99997691462222
GOTERM_BP_FAT	GO:0045449~regulation of transcription	3	16.666666666666664	0.782138159301041	ZNF540, ZNF471, ZNRD1	15	2601	13528	1.0402153018069973	1.0	1.0	99.99999976255745

Annotation Cluster 4	Enrichment Score: 0.1551297091208364
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	cell membrane	3	16.666666666666664	0.5932288890291382	TRPM4, ZAP70, CNTN2	18	2194	19235	1.4611820115466423	1.0	0.9926472372167338	99.99118186684376
GOTERM_CC_FAT	GO:0005886~plasma membrane	4	22.22222222222222	0.6756607829856394	TRPM4, OBSCN, ZAP70, CNTN2	12	3777	12782	1.1280557761892154	1.0	0.9999356472909874	99.99874280632706
SP_PIR_KEYWORDS	membrane	5	27.77777777777778	0.8543973021980771	TRPM4, CLCC1, ZAP70, CNTN2, ATP11A	18	6256	19235	0.85406898266553	1.0	0.9998065519707942	99.99999979375205

Annotation Cluster 5	Enrichment Score: 0.038285823249517584
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	membrane	5	27.77777777777778	0.8543973021980771	TRPM4, CLCC1, ZAP70, CNTN2, ATP11A	18	6256	19235	0.85406898266553	1.0	0.9998065519707942	99.99999979375205
GOTERM_CC_FAT	GO:0016021~integral to membrane	4	22.22222222222222	0.8992245501779289	TRPM4, CLCC1, CNTN2, ATP11A	12	5297	12782	0.804354666163237	1.0	0.9999999664910677	99.9999999897208
GOTERM_CC_FAT	GO:0031224~intrinsic to membrane	4	22.22222222222222	0.9154110800356018	TRPM4, CLCC1, CNTN2, ATP11A	12	5485	12782	0.7767851716803403	1.0	0.9999999294078299	99.99999999822214
UP_SEQ_FEATURE	transmembrane region	3	16.666666666666664	0.9559245986764682	TRPM4, CLCC1, ATP11A	18	4911	19113	0.6486458969659946	1.0	1.0	100.0
SP_PIR_KEYWORDS	transmembrane	3	16.666666666666664	0.9572008110556939	TRPM4, CLCC1, ATP11A	18	4973	19235	0.6446477645954822	1.0	0.9999980758860825	99.99999999999937

