"log.fc"	"test.stat"	"p.value"	"q.value"
"chr12:85306282-85306829"	-2.1105334200466	-11.3869327475111	4.47304039013536e-20	1.87242890743888e-17
"chr3:49377340-49377854"	0.789689825962218	11.374163080407	4.77695463395656e-20	1.96840386885472e-17
"chr8:70981873-70984888"	-1.25315246199794	-11.2869983838245	7.48371610197986e-20	3.03631632371404e-17
"chr2:68882342-68882574"	0.748877223581875	11.2744225641015	7.98472745907057e-20	3.17394459816649e-17
"chr1:110610265-110613303"	-0.924654282828961	-11.2725141765623	8.06363901399799e-20	3.17394459816649e-17
"chr11:65359292-65360328"	-1.14171531884414	-11.2582200638114	8.68008211928586e-20	3.36634008308539e-17
"chr7:5343565-5343782"	1.62427960343082	11.1894280816494	1.2375195857817e-19	4.7298357269906e-17
"chr13:113429177-113429393"	-0.800388878612445	-11.1780011433877	1.31264362995042e-19	4.94529111557892e-17
"chr20:37434206-37435592"	-1.34671857210784	-11.1637359464076	1.41287110019226e-19	5.24792065553102e-17
"chr4:778661-780592"	-1.20308699106036	-11.1604307692006	1.43716654261393e-19	5.26402167525202e-17
"chr20:24449844-24452037"	-1.20756627609106	-11.1572863061101	1.46066898412703e-19	5.27681677389015e-17
"chr8:97505747-97507607"	-1.66715973208988	-11.1499301259172	1.51716567566172e-19	5.40685043223662e-17
"chr13:19299583-19299821"	0.67953032671936	11.1455516672384	1.55182682719725e-19	5.44625739292441e-17
"chr13:110958891-110960590"	-1.28941504775969	-11.1433534364488	1.569526626203e-19	5.44625739292441e-17
"chr19:2622522-2622859"	0.649174680141494	11.1302489229991	1.67931842605854e-19	5.75155656259945e-17
"chr6:66497675-66498033"	0.830401416059348	11.1198456191777	1.77193155498681e-19	5.99094602155285e-17
"chr1:240370859-240371526"	1.19024025623655	11.0975855393906	1.98764515455857e-19	6.63521240709098e-17
"chr22:51158386-51160060"	-0.727761278750456	-11.0768201797075	2.21252897429497e-19	7.29360176376337e-17
"chr19:58951214-58952250"	-1.86252897220087	-11.0712642879968	2.2769058066283e-19	7.41315554721007e-17
"chr1:173683985-173684403"	0.435707349326449	11.0663080907377	2.33591559434176e-19	7.50436385307647e-17
"chr20:60494768-60495449"	0.747048052857661	11.0641709361731	2.36183148720365e-19	7.50436385307647e-17
"chr11:8289532-8290322"	-1.05883610621761	-11.01314101013	3.07389130512738e-19	9.51762034526885e-17
"chr1:120925178-120926081"	0.642803220103507	11.0123224170977	3.08691488372447e-19	9.51762034526885e-17
"chr1:53742297-53742845"	-0.608716384850535	-11.0112706860561	3.10372876419354e-19	9.51762034526885e-17
"chr7:43152020-43153340"	-1.15230577269711	-11.0065431133142	3.18044781345195e-19	9.64077813061551e-17
"chr6:133562086-133563586"	-1.86715315829914	-10.9963995381629	3.35152779858406e-19	1.00439194436658e-16
"chr7:10819305-10819710"	0.721892946180169	10.9754299351182	3.7349808919355e-19	1.10672939418116e-16
"chr4:154709512-154710827"	-1.80673867074607	-10.9709995121362	3.82145752895034e-19	1.11016607464498e-16
"chr1:49242371-49242810"	-1.73763348970779	-10.9705283224017	3.83077175764801e-19	1.11016607464498e-16
"chr1:221068782-221069159"	-1.43776721773433	-10.9655438035396	3.93070633108923e-19	1.12674551482049e-16
"chr12:57940563-57940981"	0.478052664558672	10.9595722184324	4.05387405017774e-19	1.13871506941358e-16
"chr7:6894259-6895545"	0.508124249441796	10.9593362050341	4.05882058717111e-19	1.13871506941358e-16
"chr16:32936756-32937106"	0.833399484140622	10.9460193183369	4.34794263504935e-19	1.20143638258242e-16
"chr5:127872563-127874945"	-1.76778337230309	-10.9448852126141	4.37349813165148e-19	1.20143638258242e-16
"chr16:1537699-1537927"	0.73885524268779	10.9384647619659	4.52103634382104e-19	1.22916258205411e-16
"chr8:86573421-86575248"	0.884139524837108	10.9316126117454	4.68399715074791e-19	1.26047319244412e-16
"chr8:69242920-69243803"	-1.20347593699845	-10.9218928246202	4.92529801942564e-19	1.31087249856012e-16
"chr19:55450822-55451128"	0.874469809607943	10.9201174891249	4.97069808342228e-19	1.31087249856012e-16
"chr15:32638144-32639476"	-1.00976980729702	-10.9139692893506	5.13118717251053e-19	1.33979869419255e-16
"chr9:68454902-68455796"	0.639245711109148	10.9009191010927	5.48924662199945e-19	1.41923933250362e-16
"chr15:20104140-20104701"	0.465077293611447	10.890965541546	5.7790723760115e-19	1.47966695825413e-16
"chr2:131720819-131721867"	-1.04597927943807	-10.8709257952701	6.40989982489751e-19	1.62540267482882e-16
"chr16:28073817-28075296"	-1.6850983358236	-10.8588950358088	6.82127444988937e-19	1.71324428373793e-16
"chr2:168572549-168572834"	0.547446958599787	10.8466331242282	7.26776776648385e-19	1.80558326292729e-16
"chr8:143531118-143534495"	-1.8996257485257	-10.8439655816642	7.36871234199127e-19	1.80558326292729e-16
"chr5:76506029-76507189"	-1.46879342160574	-10.8432947110537	7.39431944471968e-19	1.80558326292729e-16
"chr10:102899177-102899489"	-1.6198651070317	-10.8179903211507	8.42810995731214e-19	2.03913867701134e-16
"chr2:95690857-95692431"	-1.12203459010033	-10.8105712828143	8.75779112122742e-19	2.09964061317281e-16
"chr2:193058995-193060812"	-1.50795862790747	-10.8073247464994	8.90609007766563e-19	2.11595862638016e-16
"chr2:191208306-191209000"	0.533022892935452	10.7839675432842	1.00497961724123e-18	2.36636807731124e-16
"chr8:68864584-68864946"	-1.64124393426192	-10.7753754106319	1.05065633952047e-18	2.43601316481563e-16
"chr9:101705907-101706682"	-1.33449554235952	-10.7749388905816	1.05303162744192e-18	2.43601316481563e-16
"chr19:37406931-37407463"	-2.03579645080563	-10.7716732874568	1.07097252328731e-18	2.4556738120867e-16
"chr3:192125821-192127994"	-1.74971317304302	-10.7700232334192	1.08015380783429e-18	2.4556738120867e-16
"chr15:30483597-30484928"	-1.12228366592365	-10.7615208034674	1.12872741622907e-18	2.52542785089598e-16
"chr11:71952112-71952528"	-1.35794598928111	-10.7613050236366	1.12998819356031e-18	2.52542785089598e-16
"chr13:93879245-93880877"	-1.19300543405992	-10.7559948413115	1.16146319641981e-18	2.57395860638514e-16
"chr3:5028409-5028903"	0.602470906894188	10.733229469181	1.30665673312592e-18	2.87159594716639e-16
"chr1:185285329-185286735"	0.420826049617949	10.7285703464878	1.33854148335935e-18	2.91735669414486e-16
"chr1:906296-906538"	-0.96072854310977	-10.7184338756365	1.41062701608946e-18	3.04926685805829e-16
"chr7:905608-905886"	-0.878875370964198	-10.7155533367914	1.43181218793328e-18	3.05605568823695e-16
"chr7:98467023-98468058"	-1.41026117698928	-10.7148619692413	1.43694412764061e-18	3.05605568823695e-16
"chr11:9385837-9386241"	0.707678627876407	10.7041253514202	1.51904571743554e-18	3.2048218928168e-16
"chr9:132382432-132383004"	-1.41461716592708	-10.6933656187376	1.60603555912783e-18	3.36145791788248e-16
"chr11:59328137-59328507"	0.594335027492805	10.6881930873093	1.64961191239283e-18	3.42547758689951e-16
"chr16:87902454-87903460"	0.685639106691336	10.6862168527618	1.66657159537231e-18	3.43365829009051e-16
"chr7:49813008-49815752"	-1.56297899890505	-10.6762536713923	1.75476906329377e-18	3.58734649125452e-16
"chr2:70313200-70315490"	0.670791637288886	10.6703239230711	1.80946361112001e-18	3.67070571941977e-16
"chr10:103911696-103912546"	0.441777884432178	10.6649530378693	1.86047475099835e-18	3.73835484150222e-16
"chr17:40837022-40837525"	-2.12539820301915	-10.6638464861766	1.87116198649436e-18	3.73835484150222e-16
"chr20:3190011-3190562"	0.328482757966668	10.65690647362	1.93960518132105e-18	3.84595998810516e-16
"chr7:35225363-35226580"	-1.02033896545057	-10.6501383664739	2.00876597464352e-18	3.95337136442529e-16
"chr10:118030732-118034230"	-1.93595956218186	-10.6384045665545	2.13456993681985e-18	4.1662768265239e-16
"chr5:136834016-136835146"	-0.820784462987154	-10.6371442844916	2.14854257700307e-18	4.1662768265239e-16
"chr13:28498226-28499046"	-2.10774738888688	-10.6272097651944	2.26193961109107e-18	4.35415119880976e-16
"chr7:2571237-2571511"	1.41169186601961	10.6235837926385	2.30480403074436e-18	4.40451390570944e-16
"chr17:56274392-56274598"	0.398644775669167	10.6151205767218	2.40804216537624e-18	4.56869697735986e-16
"chr1:25255527-25259005"	-1.05138754725656	-10.6117659506394	2.45023301328566e-18	4.61553893045495e-16
"chr2:98262362-98262924"	0.324468081892013	10.6083193588752	2.49435122369264e-18	4.66532131001577e-16
"chr19:35786551-35786962"	0.768326634729438	10.6003300984785	2.59969991549605e-18	4.82811874446914e-16
"chr16:32489789-32490078"	0.521898892865458	10.577666432839	2.92341848500232e-18	5.39135610394974e-16
"chr10:7449376-7455339"	-1.43280421193192	-10.5317555419395	3.70812250121348e-18	6.79101434736125e-16
"chr20:23028403-23032218"	-1.28934434394751	-10.4891488455852	4.62383406844784e-18	8.40963807262803e-16
"chr15:20563982-20564209"	0.688016924250495	10.4823952714201	4.78846699163047e-18	8.64941448652595e-16
"chr1:200008392-200009047"	-1.2086157949126	-10.4682174898755	5.15341351364791e-18	9.24529395795392e-16
"chr22:50483350-50483579"	0.842820159115856	10.4552169148883	5.51247034105727e-18	9.82262620502449e-16
"chr7:102920309-102921514"	-0.681519003017101	-10.4441501873245	5.83777544436555e-18	1.02822269419748e-15
"chr12:34493973-34496968"	0.756485532041276	10.4437999891665	5.84837722317692e-18	1.02822269419748e-15
"chr7:6120829-6121398"	0.484594877202286	10.4348307469151	6.12657347677626e-18	1.06999997171883e-15
"chr7:152622343-152623305"	-1.56810123165895	-10.4247915990312	6.45368934286276e-18	1.11971510098669e-15
"chr7:5342299-5342599"	1.28873141772051	10.4213623751003	6.5693857701744e-18	1.13233883353621e-15
"chr2:95401380-95401636"	0.904133396748638	10.3693338590634	8.60226539169981e-18	1.4731100188955e-15
"chr12:52639195-52639416"	0.811297145421336	10.364362034398	8.82678597891361e-18	1.50180645055426e-15
"chr7:45613386-45615504"	-1.09823166005544	-10.3613860876615	8.96397078399903e-18	1.51537075330527e-15
"chr10:38893386-38894333"	0.443057882073192	10.3597030347211	9.04249817621681e-18	1.51880091214932e-15
"chr4:7647755-7647960"	0.819883474987372	10.3584916492466	9.09944426359746e-18	1.51880091214932e-15
"chr8:67976440-67977448"	0.343308232116425	10.3475688757006	9.62939250330204e-18	1.5971467867741e-15
"chr13:34392127-34392493"	0.435945039139197	10.3343114978505	1.03142652192644e-17	1.70004876476525e-15
"chr5:54179363-54180171"	-0.873976474936842	-10.3322232188098	1.04265019581224e-17	1.70787397291679e-15
"chr3:128719865-128721245"	-1.764814871095	-10.3293492795614	1.05829654308823e-17	1.72280224903227e-15
"chr1:151512661-151513199"	0.382038422903862	10.2983049312799	1.24304106914523e-17	2.01113368561337e-15
"chr9:42493567-42493824"	1.17040596679307	10.2936683202481	1.27327573140286e-17	2.04748948710708e-15
"chr5:178016558-178017670"	-1.46356833819148	-10.2770200780936	1.38802825655064e-17	2.21848976859111e-15
"chr2:120281661-120282211"	-0.919408032771108	-10.272873371702	1.41818498011455e-17	2.24693618804403e-15
"chr2:129228601-129228807"	1.05236740513466	10.2722375637904	1.42286646216955e-17	2.24693618804403e-15
"chr5:10562816-10565680"	-0.618557562715406	-10.2555073786475	1.55176467200602e-17	2.4359010672704e-15
"chr17:81009245-81009999"	0.6341668498375	10.2517546342634	1.58224558425068e-17	2.46905210342361e-15
"chr16:33730509-33730859"	0.828171767062738	10.2363431969557	1.71383110655514e-17	2.6465724547139e-15
"chr5:135692397-135693042"	0.894325365243237	10.2353595110671	1.72259235237606e-17	2.6465724547139e-15
"chr3:192232072-192233137"	-1.42111650040169	-10.2346925323145	1.7285583032888e-17	2.6465724547139e-15
"chr20:36156022-36156669"	0.244261544027883	10.2333142887566	1.7409518925488e-17	2.6465724547139e-15
"chr5:1054619-1054880"	-0.574487020075469	-10.2327354055194	1.74618385833543e-17	2.6465724547139e-15
"chr13:28501859-28502090"	-1.6860293881382	-10.2284182985576	1.78570123347699e-17	2.69100073881459e-15
"chr10:102893660-102895059"	-1.76216284016774	-10.2272715732618	1.79634751723113e-17	2.6916634502511e-15
"chr12:72665683-72667551"	-1.76343188042572	-10.2143966262779	1.92032739664442e-17	2.86117932792693e-15
"chr1:106623393-106623854"	0.650785928519018	10.2055175879175	2.01078025625867e-17	2.97911780438504e-15
"chr16:87441387-87441671"	0.852711837359963	10.199586073299	2.07356814877795e-17	3.04168238078136e-15
"chr5:72794040-72794641"	0.577867309338454	10.1993528827362	2.07607624958534e-17	3.04168238078136e-15
"chr13:88323569-88324640"	-1.66001013789614	-10.1948354069029	2.12526757114503e-17	3.09655007658766e-15
"chr5:140864527-140864748"	-1.42101765998892	-10.1902182998672	2.17674864074039e-17	3.15413270074756e-15
"chr1:53558388-53558642"	0.662552991509992	10.1786713860372	2.31102415418913e-17	3.33040049149047e-15
"chr10:15761423-15762101"	-1.09904890160161	-10.1742795147169	2.36424357269933e-17	3.38857779887102e-15
"chr1:108507251-108507841"	-1.50844692781697	-10.1691561289424	2.42787825698059e-17	3.46097326449147e-15
"chr6:29521110-29521833"	-1.3542278574833	-10.1565987189923	2.59118606709143e-17	3.67391177211479e-15
"chr1:228345377-228346700"	-0.655599622156335	-10.1407393225824	2.81322654282082e-17	3.96740162498774e-15
"chr19:18539781-18540341"	-2.03898497408861	-10.1363101585361	2.87856907856252e-17	4.03795870956653e-15
"chr11:134145559-134147180"	-1.72086590939756	-10.1335473120532	2.92009526633636e-17	4.07453716210701e-15
"chr13:88326600-88326919"	-1.75792195667197	-10.131564269354	2.95026966176892e-17	4.09497429053526e-15
"chr2:233925091-233925318"	1.31184871748143	10.122534077185	3.09166661858232e-17	4.25759495596778e-15
"chr13:102068116-102069258"	-1.04926026161398	-10.1220322450064	3.09972027736165e-17	4.25759495596778e-15
"chr10:102820488-102822874"	0.597590505794741	10.1202939689586	3.12777957018531e-17	4.27387579403767e-15
"chr7:5338674-5339002"	1.22674995539465	10.1121810854258	3.26213465758473e-17	4.43448531906312e-15
"chr4:49525901-49526121"	0.500522106280928	10.1075438107386	3.34150788914202e-17	4.51908954115145e-15
"chr2:144694666-144695180"	-1.79296313567742	-10.1024030619541	3.43175802235732e-17	4.61746543702078e-15
"chr1:221067447-221068185"	-0.84471682914053	-10.100454534823	3.46659959792982e-17	4.64066825363478e-15
"chr20:4803013-4804146"	-1.16890430368802	-10.0792779559638	3.86884991641063e-17	5.15299545432229e-15
"chr4:176923075-176923630"	-1.6658764519029	-10.0772174763458	3.91039805635875e-17	5.18216168554236e-15
"chr19:12266998-12267686"	-2.40265760940578	-10.073203034601	3.99263231998117e-17	5.26468497712717e-15
"chr1:160771683-160771953"	0.463386061118423	10.0632086769041	4.20495333583488e-17	5.51706613794216e-15
"chr5:158531375-158531648"	-0.679922501615272	-10.0462510537483	4.59135015491541e-17	5.99421219234798e-15
"chr7:157092597-157093535"	0.953315854650924	10.044586275584	4.63114701777704e-17	6.01638468733085e-15
"chr10:82116202-82117120"	-1.41240698192586	-10.0420816817266	4.69167060761161e-17	6.06513417960458e-15
"chr11:132952538-132953307"	-1.12786417168156	-10.0397332537924	4.7491387223257e-17	6.10947738464261e-15
"chr1:1474962-1475220"	-0.435013170827217	-10.0384034939667	4.78199068812253e-17	6.11086880330528e-15
"chr19:58861341-58862406"	-1.22014473172216	-10.0378165299129	4.79656394010387e-17	6.11086880330528e-15
"chr1:22140891-22141407"	-0.580583012285577	-10.0290821881664	5.01874357947782e-17	6.34339733284575e-15
"chr19:17487895-17488125"	0.790142964015623	10.0287578926831	5.02718808799015e-17	6.34339733284575e-15
"chr7:53103275-53103801"	1.12476878469261	10.0189857300216	5.28842527027959e-17	6.64125482037206e-15
"chr9:124979329-124979599"	-0.908144836263244	-10.017002465641	5.34307802163157e-17	6.67808784769989e-15
"chr15:20499875-20500858"	0.379966935594573	10.0154851690161	5.38527110100269e-17	6.69907403186995e-15
"chr20:39994545-39995810"	-1.19635934762752	-9.99594683646902	5.95931046482306e-17	7.37835378301943e-15
"chr2:74684565-74685789"	0.297383775090502	9.98387266484462	6.344236216469e-17	7.81823352807105e-15
"chr7:57071951-57072386"	0.579527955306479	9.97386626691686	6.68201013722028e-17	8.19618471343132e-15
"chr10:116697893-116698376"	0.366878826790115	9.96745843927129	6.90769560385038e-17	8.4119749948161e-15
"chr1:14924610-14925993"	-1.08215250833382	-9.96706691246779	6.92172976594529e-17	8.4119749948161e-15
"chr16:1591813-1592107"	0.551757885660787	9.96359170453847	7.04755368827941e-17	8.50215515938355e-15
"chr2:27958207-27958723"	0.608195373777291	9.96324004946752	7.06041248257621e-17	8.50215515938355e-15
"chr5:134363092-134365146"	-1.18201956094076	-9.94907526754215	7.59834425398759e-17	9.08052616679572e-15
"chr19:37997790-37998125"	-2.38005322353013	-9.94879042483394	7.60957182944734e-17	9.08052616679572e-15
"chr11:32448261-32449744"	-0.951385723138353	-9.92781203898718	8.48373931734215e-17	1.0078070868331e-14
"chr4:21950538-21950865"	-1.6832057409476	-9.91903455832307	8.87865078191926e-17	1.04999003776132e-14
"chr4:157997166-157997686"	-1.33577581095327	-9.90402299752747	9.5970993983497e-17	1.12658560872577e-14
"chr11:104034536-104035058"	-1.46354541145222	-9.90372818329323	9.61177620064081e-17	1.12658560872577e-14
"chr12:75905219-75905518"	0.402809176011011	9.88278220677126	1.07140653519864e-16	1.24797847839127e-14
"chr8:49890386-49890874"	0.790154628766603	9.88227772515372	1.07421171922804e-16	1.24797847839127e-14
"chr1:167090575-167091010"	0.814547204030666	9.88002119822259	1.08684933715619e-16	1.25712239997732e-14
"chr14:63512022-63512996"	-0.962794979476428	-9.87443233507834	1.11879319912111e-16	1.28841983612323e-14
"chr1:208132327-208133117"	-1.20248266687307	-9.87254032307157	1.12981850725792e-16	1.29545972493069e-14
"chr10:134843465-134843776"	0.859415358916576	9.87157741526959	1.13547128809544e-16	1.29630514327501e-14
"chr9:22446681-22447695"	-1.66960644407053	-9.86989857642515	1.14539466319243e-16	1.30199776110822e-14
"chr18:31020510-31020847"	-1.10228019976131	-9.85950353112254	1.2087978531935e-16	1.36817240276477e-14
"chr3:139062920-139063146"	0.270444368223122	9.85349272902503	1.24704847166428e-16	1.39813089346475e-14
"chr7:3341450-3341733"	-1.41622847505228	-9.85320357300277	1.24891875725653e-16	1.39813089346475e-14
"chr4:4866438-4866813"	-1.11557284365084	-9.85285589458487	1.25117128339785e-16	1.39813089346475e-14
"chr6:159420465-159421293"	0.413361484695116	9.85172158472133	1.25854848293066e-16	1.40044053130158e-14
"chr2:118572112-118572627"	0.361918647522321	9.84971762289126	1.27168804657499e-16	1.40911584723848e-14
"chr18:70208974-70211790"	-0.790150025682194	-9.84642944683997	1.29354567884973e-16	1.42733835324791e-14
"chr1:200004474-200004933"	-1.46259392047352	-9.84094274247739	1.33085693808591e-16	1.46238996546674e-14
"chr8:94767000-94767214"	0.425924173756949	9.83634538631823	1.36294736930494e-16	1.48730082897235e-14
"chr16:32252569-32252823"	0.898679709387979	9.83608235200694	1.3648066153925e-16	1.48730082897235e-14
"chr1:156710798-156711146"	0.235930840471872	9.83091770281637	1.40183063420888e-16	1.52136121338915e-14
"chr5:178770724-178772794"	-1.10186383240662	-9.82897349703181	1.41602677069196e-16	1.53046959002821e-14
"chr6:110679417-110679833"	-2.43197795541657	-9.81606638509654	1.51398499524714e-16	1.62966580794521e-14
"chr20:61754868-61755083"	1.10998948145018	9.8025767389072	1.62361003888192e-16	1.74056276200789e-14
"chr21:22369423-22370582"	-0.887696479156949	-9.79555542085961	1.68377340198711e-16	1.79775190919855e-14
"chr16:33817053-33817993"	0.518340429846438	9.78791281697636	1.75179564905125e-16	1.86283688938627e-14
"chr11:636906-640628"	-1.32297282278356	-9.78131243443968	1.81274783823505e-16	1.91991108393312e-14
"chr9:104211405-104211830"	0.688875629159214	9.77629632128042	1.86048341659493e-16	1.96258674649766e-14
"chr2:45161427-45163058"	-1.44379996998295	-9.77264236581723	1.89604509535805e-16	1.99213152409493e-14
"chr7:63041128-63041368"	0.745511421601333	9.76879742643869	1.93419925168234e-16	2.02303492192257e-14
"chr1:15127583-15127869"	0.82213351475663	9.76813992070955	1.94080022465649e-16	2.02303492192257e-14
"chr21:15197769-15197998"	0.856812411932646	9.76577275507574	1.96475216968373e-16	2.03820082910114e-14
"chr15:72522131-72524238"	0.418728868619022	9.76517892811968	1.97080695973301e-16	2.03820082910114e-14
"chr16:56224731-56224980"	-1.96266378480696	-9.76048239835706	2.01935543951959e-16	2.0802516269926e-14
"chr3:99979678-99980038"	0.331709693450125	9.75516907601082	2.07572222648825e-16	2.12999792050382e-14
"chr19:15580382-15580863"	-1.16125081632498	-9.75423393331442	2.08580424918692e-16	2.1304796908403e-14
"chr15:83775861-83776922"	-1.29088377887292	-9.75362931319087	2.09234885457166e-16	2.1304796908403e-14
"chr5:130330771-130331092"	0.909973113869843	9.74820593439334	2.15197857579161e-16	2.18276842310678e-14
"chr11:8284102-8285032"	-0.886748453588441	-9.74063993510791	2.23801404528653e-16	2.26133741004967e-14
"chr1:146551476-146551764"	-1.72480573514986	-9.73616993660815	2.29045046748475e-16	2.30548701253846e-14
